true_label_name,mean_cosine_similarity,mean_drift,n
airplane,0.30192835912147276,0.6980716408785272,767
automobile,0.23345106970395474,0.7665489302960453,755
bird,0.13517493682514345,0.8648250631748565,700
cat,0.26158300414681435,0.7384169958531857,735
deer,0.32938592885170254,0.6706140711482975,620
dog,0.17915867736010932,0.8208413226398906,533
frog,0.3043214278224543,0.6956785721775457,524
horse,0.4476210411158529,0.5523789588841471,505
ship,0.29972193920768275,0.7002780607923172,516
truck,0.3131679383617844,0.6868320616382156,510
