true_label_name,subtype,mean_cosine_similarity,mean_drift,n
airplane,abstract,0.510264560099571,0.489735439900429,124
airplane,cartoon,0.5464798467876637,0.4535201532123363,113
airplane,painting,0.5444397104283174,0.4555602895716826,120
airplane,real,0.5595117148298484,0.44048828517015165,312
airplane,sketch,0.5840007966878463,0.41599920331215373,98
automobile,abstract,0.4749021899132502,0.5250978100867498,105
automobile,cartoon,0.5178959623531059,0.4821040376468941,108
automobile,painting,0.4690315251020675,0.5309684748979325,94
automobile,real,0.41533658893359693,0.5846634110664031,351
automobile,sketch,0.5165098085231388,0.48349019147686123,97
bird,abstract,0.47995149793925584,0.5200485020607442,111
bird,cartoon,0.4580604176060492,0.5419395823939508,119
bird,painting,0.4932388854258269,0.5067611145741732,103
bird,real,0.5780036282140526,0.4219963717859474,269
bird,sketch,0.48486555991124136,0.5151344400887586,98
cat,abstract,0.45527849727728237,0.5447215027227177,127
cat,cartoon,0.4749730130857673,0.5250269869142328,121
cat,painting,0.5077081012229124,0.4922918987770875,120
cat,real,0.6036076085133986,0.3963923914866014,253
cat,sketch,0.5336096681523741,0.46639033184762585,114
deer,abstract,0.5087694192495872,0.4912305807504128,127
deer,cartoon,0.5207909447515112,0.4792090552484887,117
deer,painting,0.5439320008736104,0.4560679991263896,128
deer,real,0.650390685059642,0.34960931494035796,131
deer,sketch,0.5509046927476541,0.4490953072523459,117
dog,abstract,0.4935158181190491,0.5064841818809509,100
dog,cartoon,0.50935546202319,0.4906445379768099,126
dog,painting,0.5524464607238769,0.44755353927612307,100
dog,real,0.5864668743541608,0.4135331256458393,104
dog,sketch,0.545960635236166,0.45403936476383394,103
frog,abstract,0.47184409856796267,0.5281559014320374,100
frog,cartoon,0.429955675303936,0.570044324696064,100
frog,painting,0.49896082341080844,0.5010391765891915,101
frog,real,0.566661149996226,0.43333885000377403,122
frog,sketch,0.49303669386571,0.5069633061342901,101
horse,abstract,0.5519399017679925,0.4480600982320075,102
horse,cartoon,0.5852762355346872,0.4147237644653128,99
horse,painting,0.5870680621266365,0.4129319378733635,100
horse,real,0.67609316870278,0.32390683129722,102
horse,sketch,0.6163763734055501,0.38362362659445,102
ship,abstract,0.5116775254211804,0.48832247457881967,101
ship,painting,0.5197878929972649,0.48021210700273514,100
ship,real,0.5881810396089466,0.41181896039105337,109
ship,sketch,0.5278749704360962,0.4721250295639038,105
truck,abstract,0.5159750416874885,0.48402495831251147,100
truck,cartoon,0.5728866713387626,0.42711332866123747,98
truck,painting,0.4702587887644768,0.5297412112355232,100
truck,real,0.4969034644792665,0.5030965355207335,106
truck,sketch,0.5647299958849853,0.4352700041150147,106
