true_label_name,accuracy,mean_confidence,n
airplane,0.9348109517601043,0.11210685061118435,767
automobile,0.8649006622516556,0.11066821351746056,755
bird,0.9771428571428571,0.1124293915714536,700
cat,0.8721088435374149,0.11182186751544067,735
deer,0.9919354838709677,0.11515604711828689,620
dog,0.9718574108818011,0.11234907502584561,533
frog,0.9866412213740458,0.11623047222561049,524
horse,0.9920792079207921,0.11468071217584133,505
ship,0.9975903614457832,0.11342605278793583,415
truck,0.8784313725490196,0.1136808613059567,510
