true_label_name,subtype,accuracy,mean_confidence,n
airplane,abstract,0.7983870967741935,0.10951163115039944,124
airplane,cartoon,1.0,0.11509046037640187,113
airplane,painting,0.975,0.11295449379831549,120
airplane,real,0.9326923076923077,0.11079044687824367,312
airplane,sketch,0.9897959183673469,0.11510338216107716,98
automobile,abstract,0.9238095238095239,0.10988786092826294,105
automobile,cartoon,1.0,0.11401650350954792,108
automobile,painting,1.0,0.11101181480161683,94
automobile,real,0.7321937321937322,0.10908123256474135,351
automobile,sketch,1.0,0.11319453822276024,97
bird,abstract,0.990990990990991,0.11040387947011633,111
bird,cartoon,0.9915966386554622,0.11394229900686677,119
bird,painting,1.0,0.11397127416527382,103
bird,real,0.9479553903345725,0.11170791986928107,269
bird,sketch,1.0,0.11324630829752705,98
cat,abstract,0.9921259842519685,0.11155869113648027,127
cat,cartoon,1.0,0.11360387387108208,121
cat,painting,1.0,0.11273976018031434,120
cat,real,0.6403162055335968,0.10992836740177135,253
cat,sketch,0.9824561403508771,0.11345966611253583,114
deer,abstract,1.0,0.1141262399399374,127
deer,cartoon,0.9914529914529915,0.11612177480999217,117
deer,painting,0.984375,0.11573728738585483,128
deer,real,0.9847328244274809,0.11392693221569057,131
deer,sketch,1.0,0.11604844600471671,117
dog,abstract,0.94,0.11136824443936343,100
dog,cartoon,0.9603174603174603,0.11222580276311386,126
dog,painting,0.99,0.11269403323531148,100
dog,real,1.0,0.11349387631679954,104
dog,sketch,0.970873786407767,0.11196131006027883,103
frog,abstract,0.96,0.11385680347681042,100
frog,cartoon,0.99,0.11817185327410694,100
frog,painting,1.0,0.11646543288289905,101
frog,real,1.0,0.11732156483120601,122
frog,sketch,0.9801980198019802,0.11510556574800224,101
horse,abstract,0.9705882352941176,0.11211884744903615,102
horse,cartoon,0.98989898989899,0.11585014652122147,99
horse,painting,1.0,0.11442738130688662,100
horse,real,1.0,0.11635625603444431,102
horse,sketch,1.0,0.11468035742348312,102
ship,abstract,0.9900990099009901,0.1108521653136404,101
ship,cartoon,0.9900990099009901,0.11257025651117357,101
ship,painting,1.0,0.11490390762686724,100
ship,real,1.0,0.11317289743674999,109
ship,sketch,1.0,0.11475720597164966,105
truck,abstract,0.78,0.11265616804361339,100
truck,cartoon,0.9183673469387755,0.11514450191539158,98
truck,painting,0.81,0.11273598790168757,100
truck,real,1.0,0.11330175210001331,106
truck,sketch,0.8773584905660378,0.11456487510564187,106
