model,dataset,transform,level,image_id,true_label,true_label_name,pred_label,pred_label_name,confidence,correct
openclip_vit_b_32,cifar10,none,0,0,3,cat,3,cat,0.10709062963724136,1
openclip_vit_b_32,cifar10,none,0,1,8,ship,8,ship,0.11130209267139435,1
openclip_vit_b_32,cifar10,none,0,2,8,ship,8,ship,0.10877854377031326,1
openclip_vit_b_32,cifar10,none,0,3,0,airplane,0,airplane,0.10814663022756577,1
openclip_vit_b_32,cifar10,none,0,4,6,frog,6,frog,0.1130593791604042,1
openclip_vit_b_32,cifar10,none,0,5,6,frog,5,dog,0.10591120272874832,0
openclip_vit_b_32,cifar10,none,0,6,1,automobile,1,automobile,0.11193715780973434,1
openclip_vit_b_32,cifar10,none,0,7,6,frog,6,frog,0.11317726224660873,1
openclip_vit_b_32,cifar10,none,0,8,3,cat,3,cat,0.10933604836463928,1
openclip_vit_b_32,cifar10,none,0,9,1,automobile,9,truck,0.11303503811359406,0
openclip_vit_b_32,cifar10,none,0,10,0,airplane,0,airplane,0.10745221376419067,1
openclip_vit_b_32,cifar10,none,0,11,9,truck,9,truck,0.11601591855287552,1
openclip_vit_b_32,cifar10,none,0,12,5,dog,5,dog,0.10694064199924469,1
openclip_vit_b_32,cifar10,none,0,13,7,horse,7,horse,0.11475352942943573,1
openclip_vit_b_32,cifar10,none,0,14,9,truck,9,truck,0.11698058992624283,1
openclip_vit_b_32,cifar10,none,0,15,8,ship,8,ship,0.10802824795246124,1
openclip_vit_b_32,cifar10,none,0,16,5,dog,5,dog,0.11177477240562439,1
openclip_vit_b_32,cifar10,none,0,17,7,horse,7,horse,0.11179275065660477,1
openclip_vit_b_32,cifar10,none,0,18,8,ship,8,ship,0.11462023109197617,1
openclip_vit_b_32,cifar10,none,0,19,6,frog,6,frog,0.11215844005346298,1
openclip_vit_b_32,cifar10,none,0,20,7,horse,7,horse,0.11256276816129684,1
openclip_vit_b_32,cifar10,none,0,21,0,airplane,2,bird,0.10563195496797562,0
openclip_vit_b_32,cifar10,none,0,22,4,deer,4,deer,0.10307444632053375,1
openclip_vit_b_32,cifar10,none,0,23,9,truck,9,truck,0.10828308016061783,1
openclip_vit_b_32,cifar10,none,0,24,5,dog,5,dog,0.11034628748893738,1
openclip_vit_b_32,cifar10,none,0,25,2,bird,2,bird,0.10633420944213867,1
openclip_vit_b_32,cifar10,none,0,26,4,deer,4,deer,0.10946644097566605,1
openclip_vit_b_32,cifar10,none,0,27,0,airplane,0,airplane,0.10775049775838852,1
openclip_vit_b_32,cifar10,none,0,28,9,truck,9,truck,0.11582662165164948,1
openclip_vit_b_32,cifar10,none,0,29,6,frog,6,frog,0.11392591893672943,1
openclip_vit_b_32,cifar10,none,0,30,6,frog,6,frog,0.1049957349896431,1
openclip_vit_b_32,cifar10,none,0,31,5,dog,5,dog,0.10717764496803284,1
